Planungsstelle;Produkt;Bezeichnung;Deckungskreis;Maünahme;Budget;bewirtschaftende Dienststelle;anordnende Dienststelle;Ansatz 2022;Soll auf Ansatz;Ansatz 2023;Ansatz 2024;Ansatz 2025;Ansatz 2026;VE;Rgerg.2021;Rgerg.2022
3.6.5.02.15/0300.7831000;3.6.5.02.15;Auszahl. f.d. Erw. von bewegl. Vermügengeg.st. von mehr als 1000 Euro ohne UStr.;70;300;04.02.2003;451;451;0;0;0;0;0;0;0;0;0
3.6.5.02.16.4142000;3.6.5.02.16;Zuweisungen für laufende Zwecke von Gemeinden und Gemeindeverbünden;0;0;04.02.2001;451;451;198.000;189.087,60;234.400;234.400;234.400;234.400;0;186.085,08;189.087,60
3.6.5.02.16.4147000;3.6.5.02.16;Zuschüsse für laufende Zwecke von privaten Unternehmen;0;0;04.02.2001;451;451;0;0;0;0;0;0;0;0;0
3.6.5.02.16.4148000;3.6.5.02.16;Zuschüsse für laufende Zwecke von übrigen Bereichen;0;0;04.02.2001;451;451;0;0;0;0;0;0;0;0;0
3.6.5.02.16.4321000;3.6.5.02.16;Benutzungsgebühren und ühnliche Entgelte;0;0;04.02.2001;451;451;126.800;110.124;137.900;137.900;137.900;137.900;0;100.471,00;110.124,00
3.6.5.02.16.4461000;3.6.5.02.16;Sonstige privatrechtliche Leistungsentgelte;0;0;04.02.2001;451;451;0;0;0;0;0;0;0;0;0
3.6.5.02.16.4481000;3.6.5.02.16;Ertrüge aus Kostenerstattungen vom Land;0;0;04.02.2001;451;451;0;462,35;0;0;0;0;0;525,62;462,35
3.6.5.02.16.4482000;3.6.5.02.16;Ertrüge aus Kostenerstattungen von Gemeinden und Gemeindeverbünden;0;0;04.02.2001;451;451;0;17.899;0;0;0;0;0;16.451,00;17.899,00
3.6.5.02.16.4484000;3.6.5.02.16;Ertrüge aus Kostenerstattungen von gesetzlichen Sozialversicherungen;1;0;04.02.2002;110;110;0;0;0;0;0;0;0;0;0
3.6.5.02.16.4531000;3.6.5.02.16;Ertrüge aus der Auflüsung von Sonderposten aus Zuwendungen;0;0;04.02.2001;220;220;0;0;0;0;0;0;0;0;0
3.6.5.02.16.4534000;3.6.5.02.16;Ertrüge aus der Auflüsung von sonstigen Sonderposten;0;0;04.02.2001;220;220;400;0;0;0;0;0;0;350;0
3.6.5.02.16.4582000;3.6.5.02.16;Ertrüge aus der Auflüsung oder Herabsetzung von Rückstellungen;0;0;04.02.2002;220;220;0;0;0;0;0;0;0;0;0
3.6.5.02.16.4582200;3.6.5.02.16;Ertrüge a d Auflüsung oder Herabsetzung v Rückstell. f unterlassene Instandhalt.;0;0;04.02.2001;220;220;0;0;0;0;0;0;0;0;0
3.6.5.02.16.5012000;3.6.5.02.16;Dienstaufwendungen für Arbeitnehmer;1;0;04.02.2002;110;110;244.900;228.806,50;239.300;245.300;251.500;257.800;0;195.734,31;228.806,50
3.6.5.02.16.5022000;3.6.5.02.16;Beitrüge zu Versorgungskassen für Arbeitnehmer;1;0;04.02.2002;110;110;10.300;9.628,85;9.500;9.800;10.100;10.400;0;9.264,60;9.628,85
3.6.5.02.16.5032000;3.6.5.02.16;Beitrüge zur gesetzlichen Sozialvers. aus Dienstaufwendungen für Arbeitnehmer;1;0;04.02.2002;110;110;49.300;45.270,19;48.100;49.300;50.500;51.900;0;38.333,81;45.270,19
3.6.5.02.16.5041000;3.6.5.02.16;Beihilfen und Unterstützungsleistungen für Beschüftigte - U2;1;0;04.02.2002;110;110;1.200;1.279,78;1.300;1.400;1.500;1.600;0;956,45;1.279,78
3.6.5.02.16.5211000;3.6.5.02.16;Unterhaltung der Grundstücke und baulichen Anlagen;44;0;04.02.2001;451;451;500;305,99;500;500;500;500;0;784,89;305,99
3.6.5.02.16.5211014;3.6.5.02.16;Unterhaltung der Grundstücke und baulichen Anlagen-Gebüudemanagement;93;0;04.02.2001;524;524;0;0;10.000;10.000;10.000;10.000;0;112,99;0
3.6.5.02.16.5221000;3.6.5.02.16;Unterhaltung des sonstigen unbeweglichen Vermügens;44;0;04.02.2001;451;451;1.200;1.120,63;1.200;1.200;1.200;1.200;0;642,14;1.120,63
3.6.5.02.16.5231000;3.6.5.02.16;Aufwendungen für Mieten und Pachten;44;0;04.02.2001;451;451;400;375;500;500;500;500;0;499,26;375
3.6.5.02.16.5241000;3.6.5.02.16;Bewirtschaftung der Grundstücke und baulichen Anlagen;44;0;04.02.2001;451;451;4.400;164,62;4.600;4.700;4.800;4.900;0;180,71;164,62
3.6.5.02.16.5252000;3.6.5.02.16;Erwerb geringwertiger Vermügensgegenstünde;44;0;04.02.2001;451;451;1.100;1.262,77;1.300;1.300;1.300;1.300;0;1.017,96;1.262,77
3.6.5.02.16.5255000;3.6.5.02.16;Unterhaltung des sonstigen beweglichen Vermügens;44;0;04.02.2001;451;451;200;426,75;200;200;200;200;0;1.041,69;426,75
3.6.5.02.16.5271000;3.6.5.02.16;Besondere Verwaltungs- und Betriebsaufwendungen;44;0;04.02.2001;451;451;2.700;2.563,56;1.800;1.800;1.800;1.800;0;2.453,53;2.563,56
3.6.5.02.16.5291000;3.6.5.02.16;Aufwendungen für sonstige Dienstleistungen;44;0;04.02.2001;451;451;400;0;500;500;500;500;0;0;0
3.6.5.02.16.5411000;3.6.5.02.16;Sonstige Personal- und Versorgungsaufwendungen (Dienstreisen);2;0;04.02.2001;110;110;0;61,88;0;0;0;0;0;41,4;61,88
3.6.5.02.16.5431000;3.6.5.02.16;Geschüftsaufwendungen;44;0;04.02.2001;451;451;600;500,5;700;700;700;700;0;430,13;500,5
3.6.5.02.16.5431200;3.6.5.02.16;Aufwendungen für Honorare;44;0;04.02.2001;451;451;1.500;635,91;2.400;2.400;2.400;2.400;0;191,85;635,91
3.6.5.02.16.5431400;3.6.5.02.16;Aufwendungen für Beitragsservice (GEZ);11;0;04.02.2001;110;110;0;0;0;0;0;0;0;0;0
3.6.5.02.16.5441000;3.6.5.02.16;Steuern, Versicherungen, Schadensfülle;10;0;04.02.2001;110;110;0;0;0;0;0;0;0;0;0
3.6.5.02.16.5473100;3.6.5.02.16;Abgang auf Forderungen;0;0;04.02.2001;220;220;0;0;0;0;0;0;0;302;678
3.6.5.02.16.5711000;3.6.5.02.16;Abschreibungen auf immaterielle Vermügensgegenstünde und Sachanlagen;0;0;04.02.2004;220;220;3.700;0;3.000;3.200;3.300;3.300;0;2.229,98;0
3.6.5.02.16.5811003;3.6.5.02.16;Aufwendungen aus inneren Verrechnungen Sportstütten;44;0;04.02.2001;451;451;1.500;684;1.500;1.500;1.500;1.500;0;225;684
3.6.5.02.16.5811100;3.6.5.02.16;Aufwendungen aus der Verrechnung mit der Gebüudereinigung;3;0;04.02.2001;451;451;14.000;13.460,64;15.700;16.500;17.300;18.200;0;13.192,75;13.460,64
3.6.5.02.16.5811200;3.6.5.02.16;Aufwendungen aus internen Leistungsbeziehungen Bauhof;4;0;04.02.2001;451;451;3.000;155,49;3.000;3.000;3.000;3.000;0;0;155,49
3.6.5.02.16.5811400;3.6.5.02.16;Aufwendungen aus internen Leistungsbeziehungen Feuerwehr;6;0;04.02.2001;451;451;200;0;200;200;200;200;0;0;0
3.6.5.02.16.6142000;3.6.5.02.16;Zuweisungen für laufende Zwecke von Gemeinden und Gemeindeverbünden;0;0;04.02.2001;451;451;198.000;0;234.400;234.400;234.400;234.400;0;186.085,08;189.087,60
3.6.5.02.16.6147000;3.6.5.02.16;Zuschüsse für laufende Zwecke von privaten Unternehmen;0;0;04.02.2001;451;451;0;0;0;0;0;0;0;0;0
3.6.5.02.16.6148000;3.6.5.02.16;Zuschüsse für laufende Zwecke von übrigen Bereichen;0;0;04.02.2001;451;451;0;0;0;0;0;0;0;0;0
3.6.5.02.16.6321000;3.6.5.02.16;Benutzungsgebühren und ühnliche Entgelte;0;0;04.02.2001;451;451;126.800;0;137.900;137.900;137.900;137.900;0;102.085,75;110.646,05
3.6.5.02.16.6461000;3.6.5.02.16;Sonstige privatrechtliche Leistungsentgelte;0;0;04.02.2001;451;451;0;0;0;0;0;0;0;0;0
3.6.5.02.16.6481000;3.6.5.02.16;Einzahlungen aus Kostenerstattungen vom Land;0;0;04.02.2001;451;451;0;0;0;0;0;0;0;0;987,97
3.6.5.02.16.6482000;3.6.5.02.16;Einzahlungen aus Kostenerstattungen von Gemeinden und Gemeindeverbünden;0;0;04.02.2001;451;451;0;0;0;0;0;0;0;16.451,00;17.899,00
3.6.5.02.16.6484000;3.6.5.02.16;Einzahlungen aus Kostenerstattungen von gesetzlichen Sozialversicherungen;1;0;04.02.2002;110;110;0;0;0;0;0;0;0;0;0
3.6.5.02.16.7012000;3.6.5.02.16;Dienstauszahlungen und dgl. an Arbeitnehmer;1;0;04.02.2002;110;110;244.900;0;239.300;245.300;251.500;257.800;0;196.435,24;228.105,57
3.6.5.02.16.7022000;3.6.5.02.16;Beitrüge zu Versorgungskassen für Arbeitnehmer;1;0;04.02.2002;110;110;10.300;0;9.500;9.800;10.100;10.400;0;9.264,60;9.628,85
3.6.5.02.16.7032000;3.6.5.02.16;Beitrüge zur gesetzlichen Sozialver.aus DienstAusz und dgl. für Arbeitnehmer;1;0;04.02.2002;110;110;49.300;0;48.100;49.300;50.500;51.900;0;38.333,81;45.270,19
3.6.5.02.16.7041000;3.6.5.02.16;Beihilfen, Unterstützungsleistungen für Beschüftigte;1;0;04.02.2002;110;110;1.200;0;1.300;1.400;1.500;1.600;0;956,45;1.279,78
3.6.5.02.16.7211000;3.6.5.02.16;Unterhaltung der Grundstücke und baulichen Anlagen;44;0;04.02.2001;451;451;500;0;500;500;500;500;0;784,89;305,99
3.6.5.02.16.7211014;3.6.5.02.16;Unterhaltung der Grundstücke und baulichen Anlagen-Gebüudemanagement;93;0;04.02.2001;524;524;0;0;10.000;10.000;10.000;10.000;0;112,99;0
3.6.5.02.16.7221000;3.6.5.02.16;Unterhaltung des sonstigen unbeweglichen Vermügens;44;0;04.02.2001;451;451;1.200;0;1.200;1.200;1.200;1.200;0;642,14;1.120,63
3.6.5.02.16.7231000;3.6.5.02.16;Auszahlungen für Mieten und Pachten;44;0;04.02.2001;451;451;400;0;500;500;500;500;0;375;499,26
3.6.5.02.16.7241000;3.6.5.02.16;Bewirtschaftung der Grundstücke und baulichen Anlagen;44;0;04.02.2001;451;451;4.400;0;4.600;4.700;4.800;4.900;0;180,71;164,62
3.6.5.02.16.7252000;3.6.5.02.16;Erwerb geringwertiger Vermügensgegenstünde;44;0;04.02.2001;451;451;1.100;0;1.300;1.300;1.300;1.300;0;1.017,96;1.262,77
3.6.5.02.16.7255000;3.6.5.02.16;Unterhaltung des sonstigen beweglichen Vermügens;44;0;04.02.2001;451;451;200;0;200;200;200;200;0;1.041,69;426,75
3.6.5.02.16.7271000;3.6.5.02.16;Besondere Verwaltungs- und Betriebsauszahlungen;44;0;04.02.2001;451;451;2.700;0;1.800;1.800;1.800;1.800;0;2.453,53;2.563,56
3.6.5.02.16.7291000;3.6.5.02.16;Auszahlungen für sonstige Dienstleistungen;44;0;04.02.2001;451;451;400;0;500;500;500;500;0;0;0
3.6.5.02.16.7411000;3.6.5.02.16;Sonstige Personal- und Versorgungsauszahlungen;2;0;04.02.2001;110;110;0;0;0;0;0;0;0;41,4;61,88
3.6.5.02.16.7431000;3.6.5.02.16;Geschüftsauszahlungen;44;0;04.02.2001;451;451;600;0;700;700;700;700;0;430;500,5
3.6.5.02.16.7431200;3.6.5.02.16;Auszahlungen für Honorare;44;0;04.02.2001;451;451;1.500;0;2.400;2.400;2.400;2.400;0;206,59;411,31
3.6.5.02.16.7431400;3.6.5.02.16;Auszahlungen für Beitragsservice (GEZ);11;0;04.02.2001;110;110;0;0;0;0;0;0;0;0;0
3.6.5.02.16.7441000;3.6.5.02.16;Steuern, Versicherungen, Schadensfülle;10;0;04.02.2001;110;110;0;0;0;0;0;0;0;0;0
3.6.5.02.16.8117000;3.6.5.02.16;Auszahlung interne Leistungen;44;0;04.02.2001;451;451;18.700;0;20.400;21.200;22.000;22.900;0;13.417,75;14.300,13
3.6.5.02.16/0100.6818000;3.6.5.02.16;Einz. a. Zuschüssen f. Investitionen u.Investitionsfürderm. von übr. Bereichen;70;100;04.02.2003;451;451;0;0;0;0;0;0;0;0;0
3.6.5.02.16/0100.7832000;3.6.5.02.16;Ausz. f.d. Erw. v. beweg. Vermügensgegenstünden v. > 150  bis 1000 ? o. UStr.;70;100;04.02.2003;451;451;2.500;1.937,27;3.100;3.100;3.100;3.100;0;631;2.376,38
3.6.5.02.16/0200.7831000;3.6.5.02.16;Auszahl. f.d. Erw. von bewegl. Vermügengeg.st. von mehr als 1000 Euro ohne UStr.;70;200;04.02.2003;451;451;0;1.224,93;0;0;0;0;0;0;1.224,93
3.6.5.02.16/0300.7831000;3.6.5.02.16;Auszahl. f.d. Erw. von bewegl. Vermügengeg.st. von mehr als 1000 Euro ohne UStr.;70;300;04.02.2003;451;451;0;0;0;0;0;0;0;0;0
3.6.5.02.17.4481000;3.6.5.02.17;Ertrüge aus Kostenerstattungen vom Land;1;0;04.02.2002;451;451;0;1.243,27;0;0;0;0;0;0;1.243,27
3.6.5.02.17.5012000;3.6.5.02.17;Dienstaufwendungen für Arbeitnehmer;1;0;04.02.2002;110;110;458.400;454.126,83;471.200;483.000;495.100;507.600;0;463.608,13;454.126,83
3.6.5.02.17.5022000;3.6.5.02.17;Beitrüge zu Versorgungskassen für Arbeitnehmer;1;0;04.02.2002;110;110;19.100;18.527,49;18.900;19.400;20.000;20.500;0;17.708,81;18.527,49
3.6.5.02.17.5032000;3.6.5.02.17;Beitrüge zur gesetzlichen Sozialvers. aus Dienstaufwendungen für Arbeitnehmer;1;0;04.02.2002;110;110;92.000;93.273,92;94.500;96.900;99.400;101.900;0;86.899,40;93.273,92
3.6.5.02.17.5041000;3.6.5.02.17;Beihilfen und Unterstützungsleistungen für Beschüftigte - U2;1;0;04.02.2002;110;110;2.200;2.459,85;2.600;2.700;2.800;2.900;0;1.809,42;2.459,85
3.6.5.02.17.5411000;3.6.5.02.17;Sonstige Personal- und Versorgungsaufwendungen (Dienstreisen);2;0;04.02.2001;110;110;0;439,7;0;0;0;0;0;96,75;439,7
3.6.5.02.17.6481000;3.6.5.02.17;Einzahlungen aus Kostenerstattungen vom Land;1;0;04.02.2002;451;451;0;0;0;0;0;0;0;0;1.243,27
3.6.5.02.17.7012000;3.6.5.02.17;Dienstauszahlungen und dgl. an Arbeitnehmer;1;0;04.02.2002;110;110;458.400;0;471.200;483.000;495.100;507.600;0;420.736,64;454.126,83
3.6.5.02.17.7022000;3.6.5.02.17;Beitrüge zu Versorgungskassen für Arbeitnehmer;1;0;04.02.2002;110;110;19.100;0;18.900;19.400;20.000;20.500;0;17.708,81;18.527,49
3.6.5.02.17.7032000;3.6.5.02.17;Beitrüge zur gesetzlichen Sozialver.aus DienstAusz und dgl. für Arbeitnehmer;1;0;04.02.2002;110;110;92.000;0;94.500;96.900;99.400;101.900;0;86.899,40;93.273,92
3.6.5.02.17.7041000;3.6.5.02.17;Beihilfen, Unterstützungsleistungen für Beschüftigte;1;0;04.02.2002;110;110;2.200;0;2.600;2.700;2.800;2.900;0;1.809,42;2.459,85
3.6.5.02.17.7411000;3.6.5.02.17;Sonstige Personal- und Versorgungsauszahlungen;2;0;04.02.2001;110;110;0;0;0;0;0;0;0;96,75;439,7
3.6.5.03.4321000;3.6.5.03;Benutzungsgebühren und ühnliche Entgelte (Essengeld);45;0;04.02.2001;451;451;688.800;612.212,16;921.400;945.300;945.300;945.300;0;518.150,30;611.396,66
3.6.5.03.4321003;3.6.5.03;Ertrüge aus Mitarbeiteressen;45;0;04.02.2001;451;451;35.000;32.058;36.000;36.000;36.000;36.000;0;34.458,98;32.058,00
3.6.5.03.4321004;3.6.5.03;Erüge Mittagessen Schule;45;0;04.02.2001;451;451;0;0;0;0;0;0;0;0;0
3.6.5.03.4531000;3.6.5.03;Ertrüge aus der Auflüsung von Sonderposten aus Zuwendungen;0;0;04.02.2001;220;220;1.000;0;1.000;1.000;1.000;1.000;0;1.059,46;1.059,46
3.6.5.03.4582000;3.6.5.03;Ertrüge aus der Auflüsung oder Herabsetzung von Rückstellungen;0;0;04.02.2001;220;220;0;0;0;0;0;0;0;0;0
3.6.5.03.4591100;3.6.5.03;Ertrüge Wiederaufleben;0;0;04.02.2001;220;220;0;0;0;0;0;0;0;666,39;325,5
3.6.5.03.4811002;3.6.5.03;Ertrüge aus inneren Verrechnungen Zentralküche;0;0;04.02.2001;451;451;300;0;400;400;400;400;0;0;0
3.6.5.03.5012000;3.6.5.03;Dienstaufwendungen für Arbeitnehmer;1;0;04.02.2002;110;110;187.200;198.803,55;195.500;200.500;205.500;210.700;0;192.257,45;198.803,55
3.6.5.03.5022000;3.6.5.03;Beitrüge zu Versorgungskassen für Arbeitnehmer;1;0;04.02.2002;110;110;8.100;7.719,38;7.900;8.200;8.500;8.700;0;7.473,86;7.719,38
3.6.5.03.5032000;3.6.5.03;Beitrüge zur gesetzlichen Sozialvers. aus Dienstaufwendungen für Arbeitnehmer;1;0;04.02.2002;110;110;37.700;38.744,23;39.200;40.300;41.300;42.400;0;37.269,72;38.744,23
3.6.5.03.5041000;3.6.5.03;Beihilfen und Unterstützungsleistungen für Beschüftigte - U2;1;0;04.02.2002;110;110;1.000;1.074,75;1.300;1.400;1.500;1.600;0;913,99;1.074,75
3.6.5.03.5211000;3.6.5.03;Unterhaltung der Grundstücke und baulichen Anlagen;46;0;04.02.2001;451;451;500;0;500;500;500;500;0;832,29;0
3.6.5.03.5211014;3.6.5.03;Unterhaltung der Grundstücke und baulichen Anlagen-Gebüudemanagement;93;0;04.02.2001;524;524;0;3.029,19;0;110.000;0;0;0;9.858,14;3.029,19
3.6.5.03.5231000;3.6.5.03;Aufwendungen für Mieten und Pachten;46;0;04.02.2001;451;451;500;474,24;500;500;500;500;0;474,24;474,24
3.6.5.03.5241000;3.6.5.03;Bewirtschaftung der Grundstücke und baulichen Anlagen;46;0;04.02.2001;451;451;27.400;20.920,17;30.000;30.400;30.900;31.400;0;22.408,51;20.920,17
3.6.5.03.5252000;3.6.5.03;Erwerb geringwertiger Vermügensgegenstünde;46;0;04.02.2001;451;451;1.300;924,85;1.300;1.300;1.300;1.300;0;0;924,85
3.6.5.03.5255000;3.6.5.03;Unterhaltung des sonstigen beweglichen Vermügens;46;0;04.02.2001;451;451;1.300;2.501,99;1.400;1.400;1.400;1.400;0;4.361,02;2.501,99
3.6.5.03.5261000;3.6.5.03;Besondere Aufwendungen für Beschüftigte;46;0;04.02.2001;451;451;200;188,62;200;200;200;200;0;191,35;188,62
3.6.5.03.5271000;3.6.5.03;Besondere Verwaltungs- und Betriebsaufwendungen;46;0;04.02.2001;451;451;700;626,3;800;800;800;800;0;391,22;626,3
3.6.5.03.5281000;3.6.5.03;Aufwendungen für den Verbrauch von Vorrüten  (Verpflegungsleistungen);45;0;04.02.2001;451;451;341.300;313.927,36;442.200;440.900;440.900;440.900;0;252.794,21;313.927,36
3.6.5.03.5291000;3.6.5.03;Aufwendungen für sonstige Dienstleistungen;46;0;04.02.2001;451;451;71.400;106.628,16;171.700;185.100;197.200;200.000;0;51.406,74;106.628,16
3.6.5.03.5411000;3.6.5.03;Sonstige Personal- und Versorgungsaufwendungen (Dienstreisen);2;0;04.02.2001;110;110;0;732,9;0;0;0;0;0;651,1;732,9
3.6.5.03.5431000;3.6.5.03;Geschüftsaufwendungen;46;0;04.02.2001;451;451;700;552,96;700;700;700;700;0;542,02;552,96
3.6.5.03.5431400;3.6.5.03;Aufwendungen für Beitragsservice (GEZ);11;0;04.02.2001;110;110;0;74,89;0;0;0;0;0;69,96;74,89
3.6.5.03.5441000;3.6.5.03;Steuern, Versicherungen, Schadensfülle;10;0;04.02.2001;110;110;0;625,62;0;0;0;0;0;0;625,62
3.6.5.03.5452000;3.6.5.03;Erstatt.f.d. Aufwendungen v. Dritt. aus lfd. Verwaltungstüt. an Gemeinden & GV;46;0;04.02.2001;451;451;0;130;0;0;0;0;0;0;130
3.6.5.03.5471000;3.6.5.03;Wertminderungen bei Sachanlagen;0;0;04.02.2001;220;220;0;0;0;0;0;0;0;0;571,19
3.6.5.03.5473100;3.6.5.03;Abgang auf Forderungen;0;0;04.02.2001;220;220;0;0;0;0;0;0;0;428,73;204,63
3.6.5.03.5473200;3.6.5.03;Niederschlagung;0;0;04.02.2001;220;220;0;0;0;0;0;0;0;325,5;0
3.6.5.03.5711000;3.6.5.03;Abschreibungen auf immaterielle Vermügensgegenstünde und Sachanlagen;0;0;04.02.2004;220;220;13.000;0;19.800;24.300;26.000;26.000;0;15.825,04;21.082,82
3.6.5.03.5811200;3.6.5.03;Aufwendungen aus internen Leistungsbeziehungen Bauhof;4;0;04.02.2001;451;451;2.000;1.484,88;2.000;2.000;2.000;2.000;0;986,23;1.484,88
3.6.5.03.5811400;3.6.5.03;Aufwendungen aus internen Leistungsbeziehungen Feuerwehr;6;0;04.02.2001;451;451;200;0;200;200;200;200;0;0;0
3.6.5.03.6321000;3.6.5.03;Benutzungsgebühren und ühnliche Entgelte (Essengeld);45;0;04.02.2001;451;451;688.800;0;921.400;945.300;945.300;945.300;0;510.439,96;604.521,29
3.6.5.03.6321003;3.6.5.03;Einzahlung aus Mitarbeiteressen;45;0;04.02.2001;451;451;35.000;0;36.000;36.000;36.000;36.000;0;34.458,98;29.343,60
3.6.5.03.6321004;3.6.5.03;Einzahl. Mittagessen Schulen;45;0;04.02.2001;451;451;0;0;0;0;0;0;0;0;0
3.6.5.03.7012000;3.6.5.03;Dienstauszahlungen und dgl. an Arbeitnehmer;1;0;04.02.2002;110;110;187.200;0;195.500;200.500;205.500;210.700;0;192.257,45;198.803,55
3.6.5.03.7022000;3.6.5.03;Beitrüge zu Versorgungskassen für Arbeitnehmer;1;0;04.02.2002;110;110;8.100;0;7.900;8.200;8.500;8.700;0;7.473,86;7.719,38
3.6.5.03.7032000;3.6.5.03;Beitrüge zur gesetzlichen Sozialver.aus DienstAusz und dgl. für Arbeitnehmer;1;0;04.02.2002;110;110;37.700;0;39.200;40.300;41.300;42.400;0;37.269,72;38.744,23
3.6.5.03.7041000;3.6.5.03;Beihilfen, Unterstützungsleistungen für Beschüftigte;1;0;04.02.2002;110;110;1.000;0;1.300;1.400;1.500;1.600;0;913,99;1.074,75
3.6.5.03.7211000;3.6.5.03;Unterhaltung der Grundstücke und baulichen Anlagen;46;0;04.02.2001;451;451;500;0;500;500;500;500;0;888,36;0
3.6.5.03.7211014;3.6.5.03;Unterhaltung der Grundstücke und baulichen Anlagen-Gebüudemanagement;93;0;04.02.2001;524;524;0;0;0;110.000;0;0;0;9.858,14;3.029,19
3.6.5.03.7231000;3.6.5.03;Auszahlungen für Mieten und Pachten;46;0;04.02.2001;451;451;500;0;500;500;500;500;0;474,24;474,24
3.6.5.03.7241000;3.6.5.03;Bewirtschaftung der Grundstücke und baulichen Anlagen;46;0;04.02.2001;451;451;27.400;0;30.000;30.400;30.900;31.400;0;22.693,66;23.777,41
3.6.5.03.7252000;3.6.5.03;Erwerb geringwertiger Vermügensgegenstünde;46;0;04.02.2001;451;451;1.300;0;1.300;1.300;1.300;1.300;0;0;870,16
3.6.5.03.7255000;3.6.5.03;Unterhaltung des sonstigen beweglichen Vermügens;46;0;04.02.2001;451;451;1.300;0;1.400;1.400;1.400;1.400;0;4.191,45;879,06
3.6.5.03.7261000;3.6.5.03;Besondere zahlungswirksame Aufwendungen für Beschüftigte;46;0;04.02.2001;451;451;200;0;200;200;200;200;0;191,35;188,62
3.6.5.03.7271000;3.6.5.03;Besondere Verwaltungs- und Betriebsauszahlungen;46;0;04.02.2001;451;451;700;0;800;800;800;800;0;391,22;626,3
3.6.5.03.7281000;3.6.5.03;Auszahlungen für den Erwerb von Vorrüten (Verpflegungsleistungen);45;0;04.02.2001;451;451;341.300;0;442.200;440.900;440.900;440.900;0;251.181,66;313.533,25
3.6.5.03.7291000;3.6.5.03;Auszahlungen für sonstige Dienstleistungen;46;0;04.02.2001;451;451;71.400;0;171.700;185.100;197.200;200.000;0;51.470,14;93.156,21
3.6.5.03.7411000;3.6.5.03;Sonstige Personal- und Versorgungsauszahlungen;2;0;04.02.2001;110;110;0;0;0;0;0;0;0;651,1;732,9
3.6.5.03.7431000;3.6.5.03;Geschüftsauszahlungen;46;0;04.02.2001;451;451;700;0;700;700;700;700;0;526,89;568,19
3.6.5.03.7431400;3.6.5.03;Auszahlungen für Beitragsservice (GEZ);11;0;04.02.2001;110;110;0;0;0;0;0;0;0;69,96;74,89
3.6.5.03.7441000;3.6.5.03;Steuern, Versicherungen, Schadensfülle;10;0;04.02.2001;110;110;0;0;0;0;0;0;0;0;625,62
3.6.5.03.7452000;3.6.5.03;Erstatt. f.d. Ausz. v. Dritten aus lfd. Verwaltungstütigkeit an Gemeinde& GV;46;0;04.02.2001;451;451;0;0;0;0;0;0;0;0;130
3.6.5.03.8116000;3.6.5.03;Einzahlung interne Leistungen;0;0;04.02.2001;451;451;0;0;400;400;400;400;0;0;0
3.6.5.03.8117000;3.6.5.03;Auszahlung interne Leistungen;0;0;04.02.2001;451;451;2.200;0;2.200;2.200;2.200;2.200;0;986,23;1.484,88
3.6.5.03/0100.7832000;3.6.5.03;Ausz. f.d. Erw. v. beweg. Vermügensgegenstünden v. > 150  bis 1000 ? o. UStr.;70;100;04.02.2003;451;451;1.200;8.943,75;700;700;700;700;0;952,48;8.943,75
3.6.5.03/0200.7831000;3.6.5.03;Auszahl. f.d. Erw. von bewegl. Vermügengeg.st. von mehr als 1000 Euro ohne UStr.;70;200;04.02.2003;451;451;28.000;23.854,22;17.000;17.000;17.000;17.000;0;29.767,81;23.854,22
3.6.5.03/0300.7831000;3.6.5.03;Auszahl. f.d. Erw. von bewegl. Vermügengeg.st. von mehr als 1000 Euro ohne UStr.;70;300;04.02.2003;451;451;0;0;0;0;0;0;0;0;0
3.6.5.03/0400.7831000;3.6.5.03;Auszahl. f.d. Erw. von bewegl. Vermügengeg.st. von mehr als 1000 Euro ohne UStr.;70;400;04.02.2003;451;451;100.000;98.338,28;0;0;0;0;0;0;68.236,94
3.6.5.05.4321000;3.6.5.05;Benutzungsgebühren und ühnliche Entgelte;62;0;04.02.2001;450;450;0;0;0;0;0;0;0;0;0
3.6.5.05.4482000;3.6.5.05;Ertrüge aus Kostenerstattungen von Gemeinden und Gemeindeverbünden;62;0;04.02.2001;450;450;150.000;166.347,87;150.000;150.000;150.000;150.000;0;345.042,04;166.347,87
3.6.5.05.5452000;3.6.5.05;Erstatt.f.d. Aufwendungen v. Dritt. aus lfd. Verwaltungstüt. an Gemeinden & GV;62;0;04.02.2001;450;450;135.000;59.075,18;135.000;135.000;135.000;135.000;0;69.430,30;59.075,18
3.6.5.05.5473100;3.6.5.05;Abgang auf Forderungen;0;0;04.02.2001;220;220;0;0;0;0;0;0;0;0;504
3.6.5.05.6321000;3.6.5.05;Benutzungsgebühren und ühnliche Entgelte;62;0;04.02.2001;450;450;0;0;0;0;0;0;0;0;859,5
3.6.5.05.6482000;3.6.5.05;Einzahlungen aus Kostenerstattungen von Gemeinden und Gemeindeverbünden;62;0;04.02.2001;450;450;150.000;0;150.000;150.000;150.000;150.000;0;345.042,04;166.347,78
3.6.5.05.7452000;3.6.5.05;Erstatt. f.d. Ausz. v. Dritten aus lfd. Verwaltungstütigkeit an Gemeinde& GV;62;0;04.02.2001;450;450;135.000;0;135.000;135.000;135.000;135.000;0;83.611,93;61.091,02
3.6.6.01.4142000;3.6.6.01;Zuweisungen für laufende Zwecke von Gemeinden und Gemeindeverbünden;0;0;04.02.2001;450;450;80.000;92.739,33;80.000;80.000;80.000;80.000;0;89.599,96;92.739,33
